t,ytd_old,ytd_new,basis,p_old,p_new,s1g,s2g,s1u,s2u,ytd_uni_old
FROG,74.67,43.32,prior_year_close,8,12,80,84,80,84,50.28
FRT,14.1,21.48,prior_year_close,6,12,45,51,51,51,22.26
FSLR,12.57,-4.28,prior_year_close,6,-4,75,65,65,65,-8.85
FTNT,85.78,101.03,prior_year_close,8,12,62,66,52,66,104.98
FTV,1.88,12.01,prior_year_close,2,6,82,86,86,86,11.64
GD,9.86,17.99,prior_year_close,6,6,59,59,59,59,15.67
GDDY,-7.14,-26.6,prior_year_close,-4,-10,47,41,41,41,-23.16
GE,17.16,20.47,prior_year_close,6,12,81,87,81,87,15.69
GEHC,-9.15,-12.37,prior_year_close,-4,-10,67,61,61,61,-13.22
GEN,19.85,8.43,prior_year_close,6,6,80,80,80,80,13.09
GEV,23.69,51.81,prior_year_close,12,12,38,38,38,38,46.0
GILD,-11.1,9.86,prior_year_close,-10,6,49,65,65,65,10.89
GIS,-20.66,-16.78,prior_year_close,-10,-10,49,49,49,49,-15.36
GL,30.55,32.26,prior_year_close,12,12,66,66,66,66,33.64
GLW,26.53,89.86,prior_year_close,12,12,72,72,68,72,83.35
GM,9.05,8.19,prior_year_close,6,6,75,75,75,75,8.64
GNRC,14.2,55.62,prior_year_close,6,12,66,72,68,72,50.4
GOOG,9.1,12.79,prior_year_close,6,6,61,61,61,61,12.25
GOOGL,9.39,13.34,prior_year_close,6,6,61,61,61,61,12.57
GPC,-5.24,12.53,prior_year_close,-4,6,67,77,77,77,11.58
GPN,20.87,12.06,prior_year_close,12,6,81,75,75,75,14.83
GRMN,52.14,54.53,prior_year_close,8,12,72,76,72,76,54.84
GS,11.24,19.42,prior_year_close,6,6,45,45,45,45,14.8
GWW,7.56,27.11,prior_year_close,6,12,45,51,51,51,27.77
HAL,-7.79,13.87,prior_year_close,-4,6,53,63,63,63,8.72
HAS,-1.89,15.78,prior_year_close,-4,6,62,72,72,72,14.42
HBAN,-5.85,3.1,prior_year_close,-4,2,47,53,53,53,2.34
HCA,-16.63,-11.15,prior_year_close,-10,-10,67,67,67,67,-11.82
HD,-5.33,4.82,prior_year_close,-4,2,70,76,76,76,4.3
